AÑO,DEPARTAMENTO,POBLACION TOTAL,POBLACION POBRE EXTREMO ,POBLACION POBRE NO EXTREMO,POBLACION NO POBRE,PORCENTAJE_POBREZA,PORCENTAJE POBREZA EXTREMA,CASOS REPORTADOS DE VIOLENCIA,RATIO_VIOLENCIA,PROMEDIO DE AÑOS DE ESTUDIO,RATIO_DE_AÑOS_DE_ESTUDIO_PROMEDIO,INGRESO REAL PROMEDIO PER CAPITA MENSUAL,RATIO_DE_INGRESO_PER_CAPITA,PORCENTAJE_DE_ACCESO_A_SERVICIOS_BASICOS,CLUSTER
2020,ICA,"822,646",632,"69,381","752,633",0.085,0.001,3545,0.00431,11.1,1.009,1166,1.227,0.798,1
2012,JUNÍN,"1,380,348","56,341","271,220","1,052,787",0.237,0.041,3196,0.00232,9.9,0.9,1015,1.504,0.594,1
2013,JUNÍN,"1,381,869","29,887","239,789","1,112,193",0.195,0.022,3817,0.00276,10.0,0.909,1034,1.379,0.605,1
2014,JUNÍN,"1,372,915","29,381","219,922","1,123,612",0.182,0.021,3898,0.00284,10.0,0.909,1025,1.367,0.636,1
2015,JUNÍN,"1,387,519","47,575","217,413","1,122,531",0.191,0.034,4215,0.00304,9.9,0.9,1072,1.429,0.651,1
2016,JUNÍN,"1,383,649","36,556","205,447","1,141,646",0.175,0.026,4447,0.00321,9.8,0.891,1114,1.311,0.676,1
2017,JUNÍN,"1,389,108","73,927","220,669","1,094,512",0.212,0.053,5016,0.00361,9.8,0.891,1025,1.206,0.687,1
2012,LA LIBERTAD,"1,802,282","151,654","400,432","1,250,196",0.306,0.084,2264,0.00126,9.6,0.873,1080,1.6,0.661,1
2013,LA LIBERTAD,"1,838,872","137,836","403,822","1,297,214",0.295,0.075,2506,0.00136,9.6,0.873,1112,1.483,0.656,1
2014,LA LIBERTAD,"1,848,530","101,011","405,899","1,341,620",0.274,0.055,2853,0.00154,9.7,0.882,1144,1.525,0.691,1
2015,LA LIBERTAD,"1,880,501","118,578","367,726","1,394,197",0.259,0.063,3070,0.00163,9.8,0.891,1146,1.528,0.703,1
2016,LA LIBERTAD,"1,906,482","84,714","381,769","1,439,999",0.245,0.044,2822,0.00148,9.8,0.891,1181,1.389,0.72,1
2017,LA LIBERTAD,"1,925,614","83,620","368,587","1,473,407",0.235,0.043,4020,0.00209,9.8,0.891,1220,1.435,0.733,1
2018,LA LIBERTAD,"1,939,111","62,735","341,193","1,535,183",0.208,0.032,5039,0.0026,9.9,0.9,1208,1.272,0.755,1
2019,LA LIBERTAD,"1,966,643","123,175","363,165","1,480,303",0.247,0.063,7818,0.00398,10.0,0.909,1234,1.299,0.767,1
2020,LA LIBERTAD,"1,991,895","123,079","512,926","1,355,890",0.319,0.062,5782,0.0029,10.1,0.918,967,1.018,0.783,1
2021,LA LIBERTAD,"2,001,673","116,482","419,228","1,465,963",0.268,0.058,7543,0.00377,10.0,0.909,1226,1.291,0.779,1
2022,LA LIBERTAD,"2,030,152","88,847","488,003","1,453,302",0.284,0.044,6754,0.00333,10.2,0.927,1102,1.075,0.787,1
2012,LAMBAYEQUE,"1,235,839","51,074","260,897","923,868",0.252,0.041,916,0.00074,9.7,0.882,971,1.439,0.677,1
2013,LAMBAYEQUE,"1,253,180","23,646","286,458","943,076",0.247,0.019,563,0.00045,9.7,0.882,970,1.293,0.728,1
2014,LAMBAYEQUE,"1,251,471","30,829","278,270","942,372",0.247,0.025,547,0.00044,9.7,0.882,1004,1.339,0.696,1
2015,LAMBAYEQUE,"1,268,009","34,103","229,156","1,004,750",0.208,0.027,654,0.00052,9.7,0.882,1069,1.425,0.703,1
2016,LAMBAYEQUE,"1,276,375","14,942","174,110","1,087,323",0.148,0.012,704,0.00055,9.7,0.882,1153,1.356,0.747,1
2017,LAMBAYEQUE,"1,281,910","20,992","216,016","1,044,902",0.185,0.016,1534,0.0012,9.9,0.9,1117,1.314,0.759,1
2018,LAMBAYEQUE,"1,292,972","8,808","146,277","1,137,887",0.12,0.007,2464,0.00191,9.9,0.9,1184,1.246,0.754,1
2019,LAMBAYEQUE,"1,307,609","3,730","129,906","1,173,973",0.102,0.003,4188,0.0032,10.0,0.909,1208,1.272,0.768,1
2020,LAMBAYEQUE,"1,308,714","11,171","195,206","1,102,337",0.158,0.009,3169,0.00242,10.0,0.909,1033,1.087,0.744,1
2021,LAMBAYEQUE,"1,315,706","2,322","181,355","1,132,029",0.14,0.002,4222,0.00321,10.0,0.909,1117,1.176,0.763,1
2022,LAMBAYEQUE,"1,332,656","12,868","175,499","1,144,289",0.141,0.01,3581,0.00269,10.0,0.909,1173,1.144,0.774,1
2012,LIMA METROPOLITANA,"8,497,271","59,650","1,135,351","7,302,270",0.141,0.007,8674,0.00102,10.0,0.909,1469,2.176,0.871,1
2013,LIMA METROPOLITANA,"8,730,027","14,736","1,099,122","7,616,169",0.128,0.002,8538,0.00098,10.0,0.909,1470,1.96,0.875,1
2014,LIMA METROPOLITANA,"8,849,203","17,667","1,006,123","7,825,413",0.116,0.002,9337,0.00106,10.1,0.918,1507,2.009,0.881,1
2015,LIMA METROPOLITANA,"8,985,442","30,815","947,297","8,007,330",0.109,0.003,10900,0.00121,10.2,0.927,1529,2.039,0.888,1
2016,LIMA METROPOLITANA,"9,132,794","17,775","990,374","8,124,645",0.11,0.002,16223,0.00178,10.3,0.936,1595,1.876,0.899,1
2017,LIMA METROPOLITANA,"9,252,919","59,098","1,142,959","8,050,862",0.13,0.006,24785,0.00268,10.2,0.927,1550,1.824,0.897,1
2018,LIMA METROPOLITANA,"9,392,288","21,315","1,180,793","8,190,180",0.128,0.002,36311,0.00387,10.3,0.936,1558,1.64,0.913,1
2019,LIMA METROPOLITANA,"9,505,194","41,735","1,306,412","8,157,047",0.142,0.004,47333,0.00498,10.3,0.936,1546,1.627,0.912,1
2020,LIMA METROPOLITANA,"9,668,026","262,038","2,312,168","7,093,820",0.266,0.027,27732,0.00287,10.3,0.936,1146,1.206,0.895,1
2021,LIMA METROPOLITANA,"9,834,168","185,719","2,217,819","7,430,630",0.244,0.019,36969,0.00376,10.3,0.936,1248,1.314,0.89,1
2022,LIMA METROPOLITANA,"10,022,135","279,016","2,413,995","7,329,124",0.269,0.028,32085,0.0032,10.3,0.936,1267,1.236,0.886,1
2012,LIMA PROVINCIAS,"898,077","18,330","101,878","777,869",0.134,0.02,1499,0.00167,10.1,0.918,1179,1.747,0.545,1
2013,LIMA PROVINCIAS,"907,989","21,393","128,452","758,144",0.165,0.024,1918,0.00211,11.2,1.018,1090,1.453,0.573,1
2014,LIMA PROVINCIAS,"932,488","7,840","128,842","795,806",0.147,0.008,2120,0.00227,11.2,1.018,1060,1.413,0.603,1
2015,LIMA PROVINCIAS,"928,646","5,532","156,946","766,168",0.175,0.006,2369,0.00255,11.3,1.027,1088,1.451,0.635,1
2016,LIMA PROVINCIAS,"938,679","2,861","105,828","829,990",0.116,0.003,2791,0.00297,11.3,1.027,1119,1.316,0.664,1
2017,LIMA PROVINCIAS,"939,622","10,208","130,154","799,260",0.149,0.011,3765,0.00401,11.4,1.036,1092,1.285,0.681,1
2012,MADRE DE DIOS,"128,439",276,"2,749","125,414",0.024,0.002,361,0.00281,10.0,0.909,1502,2.225,0.434,1
2013,MADRE DE DIOS,"131,940",248,"4,711","126,981",0.038,0.002,367,0.00278,9.0,0.818,1567,2.089,0.431,1
2014,MADRE DE DIOS,"134,857","2,978","6,925","124,954",0.073,0.022,312,0.00231,9.1,0.827,1442,1.923,0.414,1
2015,MADRE DE DIOS,"140,396",505,"9,528","130,363",0.071,0.004,490,0.00349,9.0,0.818,1300,1.733,0.406,1
2012,MOQUEGUA,"177,500","2,132","14,833","160,535",0.096,0.012,564,0.00318,9.6,0.873,1808,2.679,0.751,1
2013,MOQUEGUA,"180,385","1,953","13,749","164,683",0.087,0.011,644,0.00357,9.9,0.9,1725,2.3,0.755,1
2014,MOQUEGUA,"180,999","3,158","18,285","159,556",0.118,0.017,654,0.00361,9.9,0.9,1729,2.305,0.772,1
2015,MOQUEGUA,"182,776","1,196","12,996","168,584",0.078,0.007,623,0.00341,9.8,0.891,1672,2.229,0.783,1
2016,MOQUEGUA,"185,570","1,153","16,745","167,672",0.096,0.006,617,0.00332,9.9,0.9,1601,1.884,0.773,1
2017,MOQUEGUA,"186,196","1,207","15,924","169,065",0.092,0.006,612,0.00329,9.9,0.9,1489,1.752,0.778,1
2018,MOQUEGUA,"185,491","1,068","15,052","169,371",0.087,0.006,938,0.00506,10.0,0.909,1536,1.617,0.798,1
2020,MOQUEGUA,"189,295","5,084","29,401","154,810",0.182,0.027,853,0.00451,9.9,0.9,1415,1.489,0.811,1
2012,TACNA,"329,395","2,710","35,806","290,879",0.117,0.008,624,0.00189,10.8,0.982,1288,1.908,0.808,1
2013,TACNA,"337,636",815,"39,178","297,643",0.118,0.002,679,0.00201,8.7,0.791,1303,1.737,0.824,1
2014,TACNA,"343,894","1,615","38,857","303,422",0.118,0.005,687,0.002,8.5,0.773,1254,1.672,0.813,1
2015,TACNA,"349,800","3,109","49,824","296,867",0.151,0.009,670,0.00192,8.6,0.782,1218,1.624,0.826,1
2016,TACNA,"350,366",0,"50,987","299,379",0.146,0.0,784,0.00224,8.6,0.782,1212,1.426,0.825,1
2017,TACNA,"352,597","3,705","45,376","303,516",0.139,0.011,1490,0.00423,8.7,0.791,1232,1.449,0.858,1
2012,TUMBES,"228,725","1,508","25,245","201,972",0.117,0.007,137,0.0006,10.0,0.909,1253,1.856,0.587,1
2013,TUMBES,"230,796",687,"28,684","201,425",0.127,0.003,286,0.00124,10.7,0.973,1222,1.629,0.607,1
2014,TUMBES,"236,862","1,908","33,727","201,227",0.15,0.008,210,0.00089,10.5,0.955,1178,1.571,0.552,1
2015,TUMBES,"236,365",762,"29,910","205,693",0.13,0.003,610,0.00258,10.6,0.964,1184,1.579,0.602,1
2016,TUMBES,"240,950","1,554","27,073","212,323",0.119,0.006,656,0.00272,10.7,0.973,1258,1.48,0.616,1
2017,TUMBES,"243,686",304,"28,519","214,863",0.118,0.001,947,0.00389,10.7,0.973,1227,1.444,0.617,1
